info,people,score,title,words
1994 / 美国 / 犯罪 剧情,1230911人评价,9.6,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)[可播放],希望让人自由。
1993 / 中国大陆 香港 / 剧情 爱情 同性,906176人评价,9.6,霸王别姬 / 再见，我的妾  /  Farewell My Concubine[可播放],风华绝代。
1994 / 法国 / 剧情 动作 犯罪,1131847人评价,9.4,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台)[可播放],怪蜀黍和小萝莉不得不说的故事。
1994 / 美国 / 剧情 爱情,970514人评价,9.4,阿甘正传 / Forrest Gump / 福雷斯特·冈普[可播放],一部美国近现代史。
1997 / 意大利 / 剧情 喜剧 爱情 战争,567066人评价,9.5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful[可播放],最美的谎言。
1997 / 美国 / 剧情 爱情 灾难,906244人评价,9.3,泰坦尼克号 / Titanic / 铁达尼号(港 / 台)[可播放],失去的才是永恒的。 
2001 / 日本 / 剧情 动画 奇幻,899093人评价,9.3,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,最好的宫崎骏，最好的久石让。 
1993 / 美国 / 剧情 历史 战争,509423人评价,9.5,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单[可播放],拯救一个人，就是拯救整个世界。
2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,985574人评价,9.3,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台)[可播放],诺兰给了我们一场无法盗取的梦。
2008 / 美国 / 爱情 科幻 动画 冒险,654040人评价,9.3,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港)[可播放],小瓦力，大人生。
2009 / 美国 英国 / 剧情,640179人评价,9.3,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港)[可播放],永远都不能忘记你所爱的人。
2009 / 印度 / 剧情 喜剧 爱情 歌舞,882556人评价,9.2,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。
1998 / 意大利 / 剧情 音乐,735807人评价,9.2,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇[可播放],每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
2004 / 法国 瑞士 德国 / 剧情 音乐,607600人评价,9.2,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩[可播放],天籁一般的童声，是最接近上帝的存在。 
1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险,673683人评价,9.2,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记[可播放],一生所爱。
1998 / 美国 / 剧情 科幻,653519人评价,9.2,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏[可播放],如果再也不能见到你，祝你早安，午安，晚安。
2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,667426人评价,9.2,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台)[可播放],爱是一种力量，让我们超越时空感知它的存在。
1972 / 美国 / 剧情 犯罪,446830人评价,9.2,教父 / The Godfather / Mario Puzo's The Godfather[可播放],千万不要记恨你的对手，这样会让你失去理智。
